,Unnamed: 0,age,age_onset,birthplace,filename,native_language,speakerid,country,state,male
486,486,34.0,0.0,"cincinnati, ohio, usa",english126,english,487,usa,ohio,0.0
488,488,39.0,0.0,"new britain, connecticut, usa",english127,english,489,usa,connecticut,1.0
489,489,20.0,0.0,"miami, florida, usa",english128,english,490,usa,florida,0.0
496,496,23.0,0.0,"west palm beach, florida, usa",english131,english,497,usa,florida,1.0
503,503,36.0,0.0,"norwich, new york, usa",english133,english,504,usa,new york,0.0
506,506,22.0,0.0,"orange beach, alabama, usa",english135,english,507,usa,alabama,1.0
508,508,26.0,0.0,"charleston, west virginia, usa",english137,english,509,usa,west virginia,1.0
509,509,25.0,0.0,"palmer, alaska, usa",english138,english,510,usa,alaska,0.0
510,510,20.0,0.0,"providence, rhode island, usa",english139,english,511,usa,rhode island,1.0
516,516,19.0,0.0,"avon, new york, usa",english142,english,517,usa,new york,1.0
517,517,42.0,0.0,"minneapolis, minnesota, usa",english143,english,518,usa,minnesota,1.0
521,521,22.0,0.0,"blytheville, arkansas, usa",english146,english,522,usa,arkansas,1.0
522,522,40.0,0.0,"merced, california, usa",english147,english,523,usa,california,0.0
525,525,18.0,0.0,"lawrenceville, georgia, usa",english149,english,526,usa,georgia,1.0
526,526,31.0,0.0,"brownsville, kentucky, usa",english150,english,527,usa,kentucky,1.0
527,527,18.0,0.0,"baltimore, maryland, usa",english151,english,528,usa,maryland,1.0
534,534,35.0,0.0,"oakland, california, usa",english155,english,535,usa,california,1.0
537,537,35.0,0.0,"fort worth, texas, usa",english157,english,538,usa,texas,1.0
539,539,18.0,0.0,"washington, district of columbia, usa",english158,english,540,usa,district of columbia,0.0
541,541,21.0,0.0,"redwood falls, minnesota, usa",english160,english,542,usa,minnesota,0.0
545,545,75.0,0.0,"wakefield, ohio, usa",english161,english,546,usa,ohio,0.0
546,546,41.0,0.0,"fairview park, ohio, usa",english163,english,547,usa,ohio,1.0
547,547,41.0,0.0,"delaware, ohio, usa",english162,english,548,usa,ohio,0.0
549,549,43.0,0.0,"detroit, michigan, usa",english165,english,550,usa,michigan,0.0
550,550,18.0,0.0,"glenside, pennsylvania, usa",english166,english,551,usa,pennsylvania,1.0
551,551,43.0,0.0,"lakeview, michigan, usa",english167,english,552,usa,michigan,1.0
553,553,40.0,0.0,"oceanside, california, usa",english168,english,554,usa,california,1.0
554,554,18.0,0.0,"cleveland, mississippi, usa",english169,english,555,usa,mississippi,1.0
555,555,50.0,0.0,"belmont, mississippi, usa",english170,english,556,usa,mississippi,0.0
562,562,21.0,0.0,"st. louis, missouri, usa",english171,english,563,usa,missouri,1.0
566,566,19.0,0.0,"libertyville, illinois, usa",english173,english,567,usa,illinois,1.0
571,571,24.0,0.0,"seattle, washington, usa",english175,english,572,usa,washington,1.0
572,572,18.0,0.0,"elizabeth city, north carolina, usa",english176,english,573,usa,north carolina,0.0
573,573,23.0,0.0,"new orleans, louisiana, usa",english177,english,574,usa,louisiana,0.0
582,582,30.0,0.0,"wilkes-barre, pennsylvania, usa",english178,english,583,usa,pennsylvania,1.0
583,583,57.0,0.0,"huron, south dakota, usa",english179,english,584,usa,south dakota,1.0
584,584,20.0,0.0,"newport, rhode island, usa",english180,english,585,usa,rhode island,1.0
585,585,68.0,0.0,"new eagle, pennsylvania, usa",english181,english,586,usa,pennsylvania,1.0
589,589,50.0,0.0,"troy, new york, usa",english182,english,590,usa,new york,1.0
596,596,18.0,0.0,"hillsboro, oregon, usa",english184,english,597,usa,oregon,0.0
604,604,39.0,0.0,"gadsden, alabama, usa",english186,english,605,usa,alabama,0.0
605,605,42.0,0.0,"algona, iowa, usa",english187,english,606,usa,iowa,0.0
616,616,19.0,0.0,"grand forks, north dakota, usa",english189,english,617,usa,north dakota,1.0
617,617,27.0,0.0,"oak park, illinois, usa",english190,english,618,usa,illinois,1.0
630,630,19.0,0.0,"las cruces, new mexico, usa",english191,english,631,usa,new mexico,1.0
635,635,27.0,0.0,"east lansing, michigan, usa",english192,english,636,usa,michigan,0.0
636,636,32.0,0.0,"honolulu, hawaii, usa",english193,english,637,usa,hawaii,1.0
638,638,21.0,0.0,"delavan, wisconsin, usa",english195,english,639,usa,wisconsin,0.0
661,661,22.0,0.0,"iowa city, iowa, usa",english197,english,662,usa,iowa,1.0
662,662,56.0,0.0,"washington, district of columbia, usa",english198,english,663,usa,district of columbia,1.0
663,663,25.0,0.0,"bay shore, new york, usa",english199,english,664,usa,new york,1.0
666,666,22.0,0.0,"berkeley, california, usa",english200,english,667,usa,california,0.0
667,667,26.0,0.0,"warren, michigan, usa",english201,english,668,usa,michigan,0.0
672,672,19.0,0.0,"crisfield, maryland, usa",english202,english,673,usa,maryland,1.0
673,673,63.0,0.0,"boston, massachusetts, usa",english203,english,674,usa,massachusetts,0.0
677,677,53.0,0.0,"chicago, illinois, usa",english204,english,678,usa,illinois,1.0
678,678,45.0,0.0,"blue earth, minnesota, usa",english205,english,679,usa,minnesota,0.0
683,683,23.0,0.0,"wilkes-barre, pennsylvania, usa",english207,english,684,usa,pennsylvania,0.0
694,694,46.0,0.0,"washington, dc, usa",english208,english,695,usa,dc,1.0
719,719,30.0,0.0,"worcester, massachusetts, usa",english211,english,720,usa,massachusetts,1.0
728,728,24.0,0.0,"spartanburg, south carolina, usa",english212,english,729,usa,south carolina,1.0
733,733,38.0,0.0,"dodge city, kansas, usa",english213,english,734,usa,kansas,1.0
736,736,26.0,0.0,"myrtle beach, south carolina, usa",english214,english,737,usa,south carolina,1.0
738,738,48.0,0.0,"chicago, illinois, usa",english216,english,739,usa,illinois,0.0
746,746,27.0,0.0,"abingdon, virginia, usa",english218,english,747,usa,virginia,0.0
747,747,38.0,0.0,"oakland, california, usa",english219,english,748,usa,california,0.0
748,748,18.0,0.0,"anaheim, california, usa",english220,english,749,usa,california,0.0
763,763,18.0,0.0,"auburn, indiana, usa",english222,english,764,usa,indiana,0.0
766,766,18.0,0.0,"erie, pennsylvania, usa",english223,english,767,usa,pennsylvania,1.0
774,774,25.0,0.0,"burlington, vermont, usa",english229,english,775,usa,vermont,1.0
790,790,22.0,0.0,"tampa, florida, usa",english231,english,791,usa,florida,1.0
793,793,49.0,0.0,"bloomington, indiana, usa",english234,english,794,usa,indiana,1.0
794,794,52.0,0.0,"richmond, virginia, usa",english235,english,795,usa,virginia,0.0
797,797,32.0,0.0,"metairie, louisiana, usa",english232,english,798,usa,louisiana,0.0
798,798,44.0,0.0,"st. charles, illinois, usa",english236,english,799,usa,illinois,1.0
800,800,22.0,0.0,"jeffersonville, ohio, usa",english237,english,801,usa,ohio,0.0
817,817,77.0,0.0,"laurel, mississippi, usa",english242,english,818,usa,mississippi,0.0
820,820,23.0,0.0,"san francisco, california, usa",english244,english,821,usa,california,1.0
823,823,25.0,0.0,"pittsburgh, pennsylvania, usa",english245,english,824,usa,pennsylvania,1.0
824,824,32.0,0.0,"los angeles, california, usa",english246,english,825,usa,california,1.0
839,839,18.0,0.0,"philadelphia, pennsylvania, usa",english248,english,840,usa,pennsylvania,0.0
849,849,29.0,0.0,"boston, massachusetts, usa",english249,english,850,usa,massachusetts,0.0
854,854,21.0,0.0,"mt. kisco, new york, usa",english251,english,855,usa,new york,1.0
855,855,25.0,0.0,"san jose ca, california, usa",english252,english,856,usa,california,0.0
857,857,39.0,0.0,"eugene, oregon, usa",english254,english,858,usa,oregon,1.0
860,860,23.0,0.0,"laurinburg, north carolina, usa",english256,english,861,usa,north carolina,1.0
862,862,24.0,0.0,"san diego, california, usa",english257,english,863,usa,california,1.0
870,870,18.0,0.0,"phoenix, arizona, usa",english260,english,871,usa,arizona,0.0
874,874,59.0,0.0,"forestville, maryland, usa",english261,english,875,usa,maryland,0.0
875,875,60.0,0.0,"naylor, maryland, usa",english262,english,876,usa,maryland,1.0
883,883,21.0,0.0,"oak forest, illinois, usa",english263,english,884,usa,illinois,1.0
888,888,21.0,0.0,"freemont, california, usa",english264,english,889,usa,california,1.0
889,889,31.0,0.0,"vancouver wa, washington, usa",english265,english,890,usa,washington,1.0
898,898,18.0,0.0,"san diego, california, usa",english266,english,899,usa,california,1.0
904,904,20.0,0.0,"dallas, texas, usa",english272,english,905,usa,texas,1.0
906,906,46.0,0.0,"blue bell, pennsylvania, usa",english273,english,907,usa,pennsylvania,1.0
911,911,20.0,0.0,"clifton, new jersey, usa",english275,english,912,usa,new jersey,0.0
917,917,50.0,0.0,"chattanooga, tennessee, usa",english276,english,918,usa,tennessee,0.0
918,918,48.0,0.0,"hudson, new york, usa",english277,english,919,usa,new york,0.0
920,920,18.0,0.0,"augusta, georgia, usa",english278,english,921,usa,georgia,0.0
936,936,23.0,0.0,"ramsey mn, minnesota, usa",english281,english,937,usa,minnesota,1.0
938,938,20.0,0.0,"tampa, florida, usa",english282,english,939,usa,florida,1.0
950,950,18.0,0.0,"pelham, new york, usa",english283,english,951,usa,new york,1.0
951,951,33.0,0.0,"gainesville, florida, usa",english284,english,952,usa,florida,1.0
976,976,21.0,0.0,"beaumont, texas, usa",english286,english,977,usa,texas,0.0
981,981,26.0,0.0,"st. louis, missouri, usa",english288,english,982,usa,missouri,0.0
982,982,19.0,0.0,"fairfax, virginia, usa",english289,english,983,usa,virginia,0.0
985,985,20.0,0.0,"duluth, georgia, usa",english290,english,986,usa,georgia,1.0
1050,1050,38.0,0.0,"kansas city, missouri, usa",english292,english,1051,usa,missouri,1.0
1051,1051,22.0,0.0,"billings, montana, usa",english293,english,1052,usa,montana,0.0
1070,1070,19.0,0.0,"lindenhurst, new york, usa",english297,english,1071,usa,new york,1.0
1085,1085,45.0,0.0,"anaheim, california, usa",english303,english,1086,usa,california,0.0
1099,1099,48.0,0.0,"alexandria, va, usa",english307,english,1100,usa,va,1.0
1109,1109,38.0,0.0,"detroit, michigan, usa",english311,english,1110,usa,michigan,0.0
1118,1118,28.0,0.0,"silver spring, maryland, usa",english313,english,1119,usa,maryland,1.0
1119,1119,26.0,0.0,"memphis, tennessee, usa",english314,english,1120,usa,tennessee,0.0
1120,1120,25.0,0.0,"los angeles, california, usa",english315,english,1121,usa,california,1.0
1121,1121,33.0,0.0,"sacramento, california, usa",english316,english,1122,usa,california,1.0
1131,1131,26.0,0.0,"burlington, vermont, usa",english317,english,1132,usa,vermont,1.0
1162,1162,52.0,0.0,"brooklyn, new york, usa",english321,english,1163,usa,new york,1.0
1175,1175,32.0,0.0,"reading, pennsylvania, usa",english325,english,1176,usa,pennsylvania,1.0
1187,1187,53.0,0.0,"fairborn, ohio, usa",english326,english,1188,usa,ohio,1.0
1204,1204,27.0,0.0,"dunedin, florida, usa",english327,english,1205,usa,florida,1.0
1205,1205,23.0,0.0,"hollywood, florida, usa",english328,english,1206,usa,florida,0.0
1206,1206,21.0,0.0,"boise, idaho, usa",english329,english,1207,usa,idaho,0.0
1207,1207,18.0,0.0,"augusta, georgia, usa",english330,english,1208,usa,georgia,0.0
1211,1211,20.0,0.0,"baltimore, maryland, usa",english332,english,1212,usa,maryland,0.0
1213,1213,32.0,0.0,"spokane, washington, usa",english333,english,1214,usa,washington,0.0
1215,1215,6.0,0.0,"washington, district of columbia, usa",english335,english,1216,usa,district of columbia,1.0
1216,1216,46.0,0.0,"baltimore, maryland, usa",english336,english,1217,usa,maryland,0.0
1217,1217,84.0,0.0,"jersey city, new jersey, usa",english337,english,1218,usa,new jersey,0.0
1219,1219,54.0,0.0,"chicago, illinois, usa",english339,english,1220,usa,illinois,1.0
1221,1221,19.0,0.0,"charleston, west virginia, usa",english340,english,1222,usa,west virginia,1.0
1223,1223,23.0,0.0,"new york, new york, usa",english341,english,1224,usa,new york,0.0
1224,1224,33.0,0.0,"kansas city, missouri, usa",english342,english,1225,usa,missouri,1.0
1225,1225,23.0,0.0,"portland, maine, usa",english343,english,1226,usa,maine,1.0
1231,1231,19.0,0.0,"lumberton, north carolina, usa",english344,english,1232,usa,north carolina,0.0
1232,1232,20.0,0.0,"kansas city, missouri, usa",english345,english,1233,usa,missouri,1.0
1234,1234,60.0,0.0,"east hartford, connecticut, usa",english346,english,1235,usa,connecticut,1.0
1235,1235,22.0,0.0,"burnsville, minnesota, usa",english347,english,1236,usa,minnesota,0.0
1238,1238,24.0,0.0,"warrenton, virginia, usa",english349,english,1239,usa,virginia,0.0
1241,1241,37.0,0.0,"carthage, missouri, usa",english351,english,1242,usa,missouri,1.0
1255,1255,19.0,0.0,"los angeles, california, usa",english355,english,1256,usa,california,1.0
1257,1257,24.0,0.0,"alto, georgia, usa",english357,english,1258,usa,georgia,1.0
1276,1276,19.0,0.0,"erie, pennsylvania, usa",english360,english,1277,usa,pennsylvania,0.0
1279,1279,20.0,0.0,"burnsville, minnesota, usa",english361,english,1280,usa,minnesota,0.0
1296,1296,27.0,0.0,"mcminnville, oregon, usa",english369,english,1297,usa,oregon,1.0
1302,1302,27.0,0.0,"colorado springs, colorado, usa",english371,english,1303,usa,colorado,0.0
1306,1306,80.0,0.0,"christiansburg, virginia, usa",english372,english,1307,usa,virginia,1.0
1307,1307,22.0,0.0,"russellville, kentucky, usa",english373,english,1308,usa,kentucky,1.0
1311,1311,28.0,0.0,"manchester, connecticut, usa",english375,english,1312,usa,connecticut,1.0
1314,1314,46.0,0.0,"pasadena, california, usa",english376,english,1315,usa,california,1.0
1318,1318,32.0,0.0,"trenton, michigan, usa",english377,english,1319,usa,michigan,0.0
1319,1319,38.0,0.0,"silver spring, maryland, usa",english378,english,1320,usa,maryland,0.0
1320,1320,43.0,0.0,"summit, new jersey, usa",english379,english,1321,usa,new jersey,1.0
1322,1322,34.0,0.0,"roanoke, virginia, usa",english380,english,1323,usa,virginia,0.0
1323,1323,85.0,0.0,"pike county, kentucky, usa",english381,english,1324,usa,kentucky,1.0
1324,1324,34.0,0.0,"arlington, virginia, usa",english382,english,1325,usa,virginia,1.0
1325,1325,32.0,0.0,"washington, district of columbia, usa",english383,english,1326,usa,district of columbia,0.0
1326,1326,57.0,0.0,"williamson, west virginia, usa",english384,english,1327,usa,west virginia,1.0
1327,1327,77.0,0.0,"mcveigh, kentucky, usa",english385,english,1328,usa,kentucky,0.0
1329,1329,56.0,0.0,"los angeles, california, usa",english386,english,1330,usa,california,0.0
1330,1330,21.0,0.0,"lancaster, california, usa",english387,english,1331,usa,california,0.0
1331,1331,70.0,0.0,"bluefield, west virginia, usa",english388,english,1332,usa,west virginia,0.0
1332,1332,71.0,0.0,"aldie, virginia, usa",english389,english,1333,usa,virginia,0.0
1333,1333,74.0,0.0,"milwaukee, wisconsin, usa",english390,english,1334,usa,wisconsin,1.0
1334,1334,84.0,0.0,"milton, florida, usa",english391,english,1335,usa,florida,0.0
1335,1335,62.0,0.0,"warrenton, virginia, usa",english392,english,1336,usa,virginia,1.0
1336,1336,58.0,0.0,"washington, district of columbia, usa",english393,english,1337,usa,district of columbia,0.0
1338,1338,82.0,0.0,"aiken, south carolina, usa",english394,english,1339,usa,south carolina,0.0
1339,1339,39.0,0.0,"alexandria, virginia, usa",english395,english,1340,usa,virginia,1.0
1340,1340,48.0,0.0,"orange, virginia, usa",english396,english,1341,usa,virginia,0.0
1341,1341,76.0,0.0,"wadesboro, north carolina, usa",english397,english,1342,usa,north carolina,0.0
1342,1342,83.0,0.0,"salisbury, north carolina, usa",english398,english,1343,usa,north carolina,0.0
1344,1344,80.0,0.0,"la grange, georgia, usa",english399,english,1345,usa,georgia,0.0
1357,1357,24.0,0.0,"pensacola, florida, usa",english406,english,1358,usa,florida,0.0
1360,1360,64.0,0.0,"lynwood, california, usa",english408,english,1361,usa,california,1.0
1370,1370,26.0,0.0,"washington, district of columbia, usa",english411,english,1371,usa,district of columbia,0.0
1371,1371,31.0,0.0,"washington, district of columbia, usa",english412,english,1372,usa,district of columbia,0.0
1373,1373,30.0,0.0,"woonsocket, rhode island, usa",english414,english,1374,usa,rhode island,0.0
1374,1374,32.0,0.0,"woonsocket, rhode island, usa",english415,english,1375,usa,rhode island,1.0
1384,1384,27.0,0.0,"youngstown, ohio, usa",english419,english,1385,usa,ohio,1.0
1389,1389,31.0,0.0,"rochester, new york, usa",english422,english,1390,usa,new york,1.0
1394,1394,24.0,0.0,"baltimore, maryland, usa",english423,english,1395,usa,maryland,0.0
1408,1408,75.0,0.0,"danville, virginia, usa",english424,english,1409,usa,virginia,1.0
1409,1409,31.0,0.0,"danville, virginia, usa",english425,english,1410,usa,virginia,1.0
1410,1410,30.0,0.0,"florence, south carolina, usa",english426,english,1411,usa,south carolina,0.0
1411,1411,68.0,0.0,"hanover, pennsylvania, usa",english427,english,1412,usa,pennsylvania,0.0
1412,1412,55.0,0.0,"kingstree, south carolina, usa",english428,english,1413,usa,south carolina,0.0
1415,1415,19.0,0.0,"philadelphia, pennsylvania, usa",english429,english,1416,usa,pennsylvania,0.0
1422,1422,23.0,0.0,"green bay, wisconsin, usa",english431,english,1423,usa,wisconsin,0.0
1429,1429,32.0,0.0,"gladwin, michigan, usa",english433,english,1430,usa,michigan,0.0
1468,1468,24.0,0.0,"kansas city, kansas, usa",english434,english,1469,usa,kansas,1.0
1470,1470,20.0,0.0,"palm springs, california, usa",english435,english,1471,usa,california,0.0
1476,1476,21.0,0.0,"cleveland, ohio, usa",english437,english,1477,usa,ohio,1.0
1491,1491,20.0,0.0,"houston, texas, usa",english438,english,1492,usa,texas,0.0
1523,1523,19.0,0.0,"oquawka, illinois, usa",english441,english,1524,usa,illinois,0.0
1527,1527,23.0,0.0,"salisbury mills, new york, usa",english442,english,1528,usa,new york,1.0
1529,1529,31.0,0.0,"fort collins, colorado, usa",english443,english,1530,usa,colorado,1.0
1530,1530,24.0,0.0,"anniston, alabama, usa",english444,english,1531,usa,alabama,1.0
1531,1531,60.0,0.0,"san francisco, california, usa",english445,english,1532,usa,california,1.0
1532,1532,23.0,0.0,"moorhead, minnesota, usa",english446,english,1533,usa,minnesota,0.0
1533,1533,21.0,0.0,"hartford, connecticut, usa",english447,english,1534,usa,connecticut,1.0
1537,1537,27.0,0.0,"barton, vermont, usa",english449,english,1538,usa,vermont,1.0
1545,1545,44.0,0.0,"hazlehurst, georgia, usa",english451,english,1546,usa,georgia,1.0
1547,1547,21.0,0.0,"chicago, illinois, usa",english453,english,1548,usa,illinois,0.0
1549,1549,19.0,0.0,"raleigh, north carolina, usa",english454,english,1550,usa,north carolina,0.0
1551,1551,29.0,0.0,"washington, dc, usa",english455,english,1552,usa,dc,0.0
1554,1554,43.0,0.0,"syracuse, new york, usa",english457,english,1555,usa,new york,1.0
1558,1558,22.0,0.0,"reno, nevada, usa",english458,english,1559,usa,nevada,0.0
1559,1559,19.0,0.0,"charlotte, north carolina, usa",english459,english,1560,usa,north carolina,1.0
1562,1562,44.0,0.0,"poughkeepsie, new york, usa",english461,english,1563,usa,new york,0.0
1563,1563,20.0,0.0,"paducah, kentucky, usa",english462,english,1564,usa,kentucky,1.0
1570,1570,53.0,0.0,"brooklyn, new york, usa",english463,english,1571,usa,new york,0.0
1636,1636,18.0,0.0,"portland, maine, usa",english466,english,1637,usa,maine,1.0
1639,1639,30.0,0.0,"myrtle beach, south carolina, usa",english468,english,1640,usa,south carolina,1.0
1640,1640,22.0,0.0,"knoxville, tennessee, usa",english469,english,1641,usa,tennessee,1.0
1655,1655,33.0,0.0,"rochester, minnesota, usa",english474,english,1656,usa,minnesota,0.0
1656,1656,29.0,0.0,"ogden, utah, usa",english475,english,1657,usa,utah,0.0
1657,1657,64.0,0.0,"manchester, new hampshire, usa",english476,english,1658,usa,new hampshire,0.0
1658,1658,31.0,0.0,"san diego, california, usa",english477,english,1659,usa,california,0.0
1663,1663,64.0,0.0,"new york, new york, usa",english479,english,1664,usa,new york,0.0
1664,1664,58.0,0.0,"winston-salem, north carolina, usa",english480,english,1665,usa,north carolina,1.0
1665,1665,88.0,0.0,"stringtown, oklahoma, usa",english481,english,1666,usa,oklahoma,0.0
1666,1666,74.0,0.0,"yeadon, pennsylvania, usa",english482,english,1667,usa,pennsylvania,0.0
1667,1667,19.0,0.0,"boston, massachusetts, usa",english483,english,1668,usa,massachusetts,1.0
1673,1673,20.0,0.0,"cromwell, connecticut, usa",english485,english,1674,usa,connecticut,1.0
1715,1715,22.0,0.0,"omaha, nebraska, usa",english492,english,1716,usa,nebraska,0.0
1717,1717,20.0,0.0,"miami, florida, usa",english493,english,1718,usa,florida,1.0
1718,1718,27.5,0.0,"findlay, ohio, usa",english494,english,1719,usa,ohio,1.0
1719,1719,21.0,0.0,"kirkland, washington, usa",english495,english,1720,usa,washington,1.0
1725,1725,22.0,0.0,"cleveland, ohio, usa",english497,english,1726,usa,ohio,1.0
1727,1727,21.0,0.0,"st. paul, minnesota, usa",english499,english,1728,usa,minnesota,0.0
1733,1733,64.0,0.0,"pittsburgh, pennsylvania, usa",english501,english,1734,usa,pennsylvania,0.0
1734,1734,30.0,0.0,"farmington hills, michigan, usa",english502,english,1735,usa,michigan,0.0
1785,1785,25.0,0.0,"west palm beach, florida, usa",english504,english,1786,usa,florida,1.0
1798,1798,30.0,0.0,"new orleans, louisiana, usa",english506,english,1799,usa,louisiana,0.0
