,Unnamed: 0,age,age_onset,birthplace,filename,native_language,sex,speakerid,country,state
132,132,21.0,0.0,"beaumont, texas, usa",english70,english,male,133,usa,texas
133,133,20.0,0.0,"west covina, california, usa",english71,english,male,134,usa,california
136,136,21.0,0.0,"wichita, kansas, usa",english74,english,male,137,usa,kansas
137,137,32.0,0.0,"idaho falls, idaho, usa",english75,english,male,138,usa,idaho
138,138,18.0,0.0,"boston, massachusetts, usa",english76,english,female,139,usa,massachusetts
140,140,20.0,0.0,"caribou, maine, usa",english78,english,female,141,usa,maine
141,141,73.0,0.0,"boston, massachusetts, usa",english79,english,male,142,usa,massachusetts
144,144,30.0,0.0,"st. paul, minnesota, usa",english81,english,male,145,usa,minnesota
145,145,50.0,0.0,"chicago, illinois, usa",english82,english,female,146,usa,illinois
146,146,42.0,0.0,"winnfield, louisiana, usa",english83,english,female,147,usa,louisiana
149,149,50.0,0.0,"charleston, south carolina, usa",english86,english,male,150,usa,south carolina
151,151,18.0,0.0,"grand rapids, michigan, usa",english88,english,male,152,usa,michigan
152,152,18.0,0.0,"kingston ma, massachusetts, usa",english89,english,male,153,usa,massachusetts
153,153,48.0,0.0,"carthage, texas, usa",english9,english,female,154,usa,texas
154,154,53.0,0.0,"pittsburgh, pennsylvania, usa",english90,english,male,155,usa,pennsylvania
156,156,22.0,0.0,"wisconsin rapids, wisconsin, usa",english92,english,female,157,usa,wisconsin
157,157,22.0,0.0,"mamou, louisiana, usa",english93,english,female,158,usa,louisiana
158,158,55.0,0.0,"pensacola, florida, usa",english94,english,female,159,usa,florida
159,159,18.0,0.0,"mishawaka, indiana, usa",english95,english,male,160,usa,indiana
160,160,31.0,0.0,"point pleasant, new jersey, usa",english96,english,male,161,usa,new jersey
161,161,42.0,0.0,"wilmington nc, north carolina, usa",english97,english,male,162,usa,north carolina
162,162,22.0,0.0,"spokane, washington, usa",english98,english,male,163,usa,washington
163,163,52.0,0.0,"pittsburgh, pennsylvania, usa",english99,english,female,164,usa,pennsylvania
261,261,22.0,5.0,"berkeley, california, usa",mandarin7,mandarin,male,262,usa,california
407,407,39.0,0.0,"los angeles, california, usa",english106,english,female,408,usa,california
415,415,19.0,0.0,"chicago, illinois, usa",english107,english,male,416,usa,illinois
419,419,26.0,0.0,"concord, new hampshire, usa",english109,english,female,420,usa,new hampshire
441,441,38.0,0.0,"birmingham 2, alabama, usa",english114,english,female,442,usa,alabama
443,443,56.0,0.0,"atlanta, georgia, usa",english116,english,male,444,usa,georgia
444,444,60.0,0.0,"elmore, alabama, usa",english117,english,female,445,usa,alabama
445,445,19.0,0.0,"akron, ohio, usa",english118,english,male,446,usa,ohio
463,463,19.0,16.0,"new orleans, louisiana, usa",kikongo1,kikongo,male,464,usa,louisiana
464,464,21.0,0.0,"waconia, minnesota, usa",english121,english,male,465,usa,minnesota
468,468,28.0,0.0,"riverside, california, usa",english123,english,female,469,usa,california
479,479,38.0,0.0,"brooklyn, new york, usa",english124,english,male,480,usa,new york
486,486,34.0,0.0,"cincinnati, ohio, usa",english126,english,female,487,usa,ohio
488,488,39.0,0.0,"new britain, connecticut, usa",english127,english,male,489,usa,connecticut
489,489,20.0,0.0,"miami, florida, usa",english128,english,female,490,usa,florida
496,496,23.0,0.0,"west palm beach, florida, usa",english131,english,male,497,usa,florida
503,503,36.0,0.0,"norwich, new york, usa",english133,english,female,504,usa,new york
506,506,22.0,0.0,"orange beach, alabama, usa",english135,english,male,507,usa,alabama
508,508,26.0,0.0,"charleston, west virginia, usa",english137,english,male,509,usa,west virginia
509,509,25.0,0.0,"palmer, alaska, usa",english138,english,female,510,usa,alaska
510,510,20.0,0.0,"providence, rhode island, usa",english139,english,male,511,usa,rhode island
516,516,19.0,0.0,"avon, new york, usa",english142,english,male,517,usa,new york
517,517,42.0,0.0,"minneapolis, minnesota, usa",english143,english,male,518,usa,minnesota
521,521,22.0,0.0,"blytheville, arkansas, usa",english146,english,male,522,usa,arkansas
522,522,40.0,0.0,"merced, california, usa",english147,english,female,523,usa,california
525,525,18.0,0.0,"lawrenceville, georgia, usa",english149,english,male,526,usa,georgia
526,526,31.0,0.0,"brownsville, kentucky, usa",english150,english,male,527,usa,kentucky
527,527,18.0,0.0,"baltimore, maryland, usa",english151,english,male,528,usa,maryland
534,534,35.0,0.0,"oakland, california, usa",english155,english,male,535,usa,california
537,537,35.0,0.0,"fort worth, texas, usa",english157,english,male,538,usa,texas
539,539,18.0,0.0,"washington, district of columbia, usa",english158,english,female,540,usa,district of columbia
541,541,21.0,0.0,"redwood falls, minnesota, usa",english160,english,female,542,usa,minnesota
545,545,75.0,0.0,"wakefield, ohio, usa",english161,english,female,546,usa,ohio
546,546,41.0,0.0,"fairview park, ohio, usa",english163,english,male,547,usa,ohio
547,547,41.0,0.0,"delaware, ohio, usa",english162,english,female,548,usa,ohio
549,549,43.0,0.0,"detroit, michigan, usa",english165,english,female,550,usa,michigan
550,550,18.0,0.0,"glenside, pennsylvania, usa",english166,english,male,551,usa,pennsylvania
551,551,43.0,0.0,"lakeview, michigan, usa",english167,english,male,552,usa,michigan
553,553,40.0,0.0,"oceanside, california, usa",english168,english,male,554,usa,california
554,554,18.0,0.0,"cleveland, mississippi, usa",english169,english,male,555,usa,mississippi
555,555,50.0,0.0,"belmont, mississippi, usa",english170,english,female,556,usa,mississippi
562,562,21.0,0.0,"st. louis, missouri, usa",english171,english,male,563,usa,missouri
566,566,19.0,0.0,"libertyville, illinois, usa",english173,english,male,567,usa,illinois
570,570,31.0,1.0,"bethel, alaska, usa",yupik1,yupik,female,571,usa,alaska
571,571,24.0,0.0,"seattle, washington, usa",english175,english,male,572,usa,washington
572,572,18.0,0.0,"elizabeth city, north carolina, usa",english176,english,female,573,usa,north carolina
573,573,23.0,0.0,"new orleans, louisiana, usa",english177,english,female,574,usa,louisiana
582,582,30.0,0.0,"wilkes-barre, pennsylvania, usa",english178,english,male,583,usa,pennsylvania
583,583,57.0,0.0,"huron, south dakota, usa",english179,english,male,584,usa,south dakota
584,584,20.0,0.0,"newport, rhode island, usa",english180,english,male,585,usa,rhode island
585,585,68.0,0.0,"new eagle, pennsylvania, usa",english181,english,male,586,usa,pennsylvania
589,589,50.0,0.0,"troy, new york, usa",english182,english,male,590,usa,new york
596,596,18.0,0.0,"hillsboro, oregon, usa",english184,english,female,597,usa,oregon
604,604,39.0,0.0,"gadsden, alabama, usa",english186,english,female,605,usa,alabama
605,605,42.0,0.0,"algona, iowa, usa",english187,english,female,606,usa,iowa
616,616,19.0,0.0,"grand forks, north dakota, usa",english189,english,male,617,usa,north dakota
617,617,27.0,0.0,"oak park, illinois, usa",english190,english,male,618,usa,illinois
630,630,19.0,0.0,"las cruces, new mexico, usa",english191,english,male,631,usa,new mexico
635,635,27.0,0.0,"east lansing, michigan, usa",english192,english,female,636,usa,michigan
636,636,32.0,0.0,"honolulu, hawaii, usa",english193,english,male,637,usa,hawaii
638,638,21.0,0.0,"delavan, wisconsin, usa",english195,english,female,639,usa,wisconsin
661,661,22.0,0.0,"iowa city, iowa, usa",english197,english,male,662,usa,iowa
662,662,56.0,0.0,"washington, district of columbia, usa",english198,english,male,663,usa,district of columbia
663,663,25.0,0.0,"bay shore, new york, usa",english199,english,male,664,usa,new york
666,666,22.0,0.0,"berkeley, california, usa",english200,english,female,667,usa,california
667,667,26.0,0.0,"warren, michigan, usa",english201,english,female,668,usa,michigan
672,672,19.0,0.0,"crisfield, maryland, usa",english202,english,male,673,usa,maryland
673,673,63.0,0.0,"boston, massachusetts, usa",english203,english,female,674,usa,massachusetts
677,677,53.0,0.0,"chicago, illinois, usa",english204,english,male,678,usa,illinois
678,678,45.0,0.0,"blue earth, minnesota, usa",english205,english,female,679,usa,minnesota
683,683,23.0,0.0,"wilkes-barre, pennsylvania, usa",english207,english,female,684,usa,pennsylvania
694,694,46.0,0.0,"washington, dc, usa",english208,english,male,695,usa,dc
719,719,30.0,0.0,"worcester, massachusetts, usa",english211,english,male,720,usa,massachusetts
728,728,24.0,0.0,"spartanburg, south carolina, usa",english212,english,male,729,usa,south carolina
733,733,38.0,0.0,"dodge city, kansas, usa",english213,english,male,734,usa,kansas
736,736,26.0,0.0,"myrtle beach, south carolina, usa",english214,english,male,737,usa,south carolina
738,738,48.0,0.0,"chicago, illinois, usa",english216,english,female,739,usa,illinois
740,740,22.0,6.0,"washington, dc, usa",french18,french,male,741,usa,dc
746,746,27.0,0.0,"abingdon, virginia, usa",english218,english,female,747,usa,virginia
747,747,38.0,0.0,"oakland, california, usa",english219,english,female,748,usa,california
748,748,18.0,0.0,"anaheim, california, usa",english220,english,female,749,usa,california
763,763,18.0,0.0,"auburn, indiana, usa",english222,english,female,764,usa,indiana
766,766,18.0,0.0,"erie, pennsylvania, usa",english223,english,male,767,usa,pennsylvania
774,774,25.0,0.0,"burlington, vermont, usa",english229,english,male,775,usa,vermont
790,790,22.0,0.0,"tampa, florida, usa",english231,english,male,791,usa,florida
793,793,49.0,0.0,"bloomington, indiana, usa",english234,english,male,794,usa,indiana
794,794,52.0,0.0,"richmond, virginia, usa",english235,english,female,795,usa,virginia
797,797,32.0,0.0,"metairie, louisiana, usa",english232,english,female,798,usa,louisiana
798,798,44.0,0.0,"st. charles, illinois, usa",english236,english,male,799,usa,illinois
800,800,22.0,0.0,"jeffersonville, ohio, usa",english237,english,female,801,usa,ohio
817,817,77.0,0.0,"laurel, mississippi, usa",english242,english,female,818,usa,mississippi
820,820,23.0,0.0,"san francisco, california, usa",english244,english,male,821,usa,california
823,823,25.0,0.0,"pittsburgh, pennsylvania, usa",english245,english,male,824,usa,pennsylvania
824,824,32.0,0.0,"los angeles, california, usa",english246,english,male,825,usa,california
839,839,18.0,0.0,"philadelphia, pennsylvania, usa",english248,english,female,840,usa,pennsylvania
849,849,29.0,0.0,"boston, massachusetts, usa",english249,english,female,850,usa,massachusetts
854,854,21.0,0.0,"mt. kisco, new york, usa",english251,english,male,855,usa,new york
855,855,25.0,0.0,"san jose ca, california, usa",english252,english,female,856,usa,california
857,857,39.0,0.0,"eugene, oregon, usa",english254,english,male,858,usa,oregon
860,860,23.0,0.0,"laurinburg, north carolina, usa",english256,english,male,861,usa,north carolina
862,862,24.0,0.0,"san diego, california, usa",english257,english,male,863,usa,california
870,870,18.0,0.0,"phoenix, arizona, usa",english260,english,female,871,usa,arizona
874,874,59.0,0.0,"forestville, maryland, usa",english261,english,female,875,usa,maryland
875,875,60.0,0.0,"naylor, maryland, usa",english262,english,male,876,usa,maryland
883,883,21.0,0.0,"oak forest, illinois, usa",english263,english,male,884,usa,illinois
888,888,21.0,0.0,"freemont, california, usa",english264,english,male,889,usa,california
889,889,31.0,0.0,"vancouver wa, washington, usa",english265,english,male,890,usa,washington
898,898,18.0,0.0,"san diego, california, usa",english266,english,male,899,usa,california
904,904,20.0,0.0,"dallas, texas, usa",english272,english,male,905,usa,texas
906,906,46.0,0.0,"blue bell, pennsylvania, usa",english273,english,male,907,usa,pennsylvania
911,911,20.0,0.0,"clifton, new jersey, usa",english275,english,female,912,usa,new jersey
917,917,50.0,0.0,"chattanooga, tennessee, usa",english276,english,female,918,usa,tennessee
918,918,48.0,0.0,"hudson, new york, usa",english277,english,female,919,usa,new york
920,920,18.0,0.0,"augusta, georgia, usa",english278,english,female,921,usa,georgia
936,936,23.0,0.0,"ramsey mn, minnesota, usa",english281,english,male,937,usa,minnesota
938,938,20.0,0.0,"tampa, florida, usa",english282,english,male,939,usa,florida
950,950,18.0,0.0,"pelham, new york, usa",english283,english,male,951,usa,new york
951,951,33.0,0.0,"gainesville, florida, usa",english284,english,male,952,usa,florida
976,976,21.0,0.0,"beaumont, texas, usa",english286,english,female,977,usa,texas
981,981,26.0,0.0,"st. louis, missouri, usa",english288,english,female,982,usa,missouri
982,982,19.0,0.0,"fairfax, virginia, usa",english289,english,female,983,usa,virginia
985,985,20.0,0.0,"duluth, georgia, usa",english290,english,male,986,usa,georgia
1050,1050,38.0,0.0,"kansas city, missouri, usa",english292,english,male,1051,usa,missouri
1051,1051,22.0,0.0,"billings, montana, usa",english293,english,female,1052,usa,montana
1070,1070,19.0,0.0,"lindenhurst, new york, usa",english297,english,male,1071,usa,new york
1085,1085,45.0,0.0,"anaheim, california, usa",english303,english,female,1086,usa,california
1099,1099,48.0,0.0,"alexandria, va, usa",english307,english,male,1100,usa,va
1109,1109,38.0,0.0,"detroit, michigan, usa",english311,english,female,1110,usa,michigan
1118,1118,28.0,0.0,"silver spring, maryland, usa",english313,english,male,1119,usa,maryland
1119,1119,26.0,0.0,"memphis, tennessee, usa",english314,english,female,1120,usa,tennessee
1120,1120,25.0,0.0,"los angeles, california, usa",english315,english,male,1121,usa,california
1121,1121,33.0,0.0,"sacramento, california, usa",english316,english,male,1122,usa,california
1131,1131,26.0,0.0,"burlington, vermont, usa",english317,english,male,1132,usa,vermont
1160,1160,52.0,5.0,"brooklyn, new york, usa",yiddish3,yiddish,male,1161,usa,new york
1162,1162,52.0,0.0,"brooklyn, new york, usa",english321,english,male,1163,usa,new york
1175,1175,32.0,0.0,"reading, pennsylvania, usa",english325,english,male,1176,usa,pennsylvania
1187,1187,53.0,0.0,"fairborn, ohio, usa",english326,english,male,1188,usa,ohio
1204,1204,27.0,0.0,"dunedin, florida, usa",english327,english,male,1205,usa,florida
1205,1205,23.0,0.0,"hollywood, florida, usa",english328,english,female,1206,usa,florida
1206,1206,21.0,0.0,"boise, idaho, usa",english329,english,female,1207,usa,idaho
1207,1207,18.0,0.0,"augusta, georgia, usa",english330,english,female,1208,usa,georgia
1211,1211,20.0,0.0,"baltimore, maryland, usa",english332,english,female,1212,usa,maryland
1213,1213,32.0,0.0,"spokane, washington, usa",english333,english,female,1214,usa,washington
1215,1215,6.0,0.0,"washington, district of columbia, usa",english335,english,male,1216,usa,district of columbia
1216,1216,46.0,0.0,"baltimore, maryland, usa",english336,english,female,1217,usa,maryland
1217,1217,84.0,0.0,"jersey city, new jersey, usa",english337,english,female,1218,usa,new jersey
1219,1219,54.0,0.0,"chicago, illinois, usa",english339,english,male,1220,usa,illinois
1221,1221,19.0,0.0,"charleston, west virginia, usa",english340,english,male,1222,usa,west virginia
1223,1223,23.0,0.0,"new york, new york, usa",english341,english,female,1224,usa,new york
1224,1224,33.0,0.0,"kansas city, missouri, usa",english342,english,male,1225,usa,missouri
1225,1225,23.0,0.0,"portland, maine, usa",english343,english,male,1226,usa,maine
1231,1231,19.0,0.0,"lumberton, north carolina, usa",english344,english,female,1232,usa,north carolina
1232,1232,20.0,0.0,"kansas city, missouri, usa",english345,english,male,1233,usa,missouri
1234,1234,60.0,0.0,"east hartford, connecticut, usa",english346,english,male,1235,usa,connecticut
1235,1235,22.0,0.0,"burnsville, minnesota, usa",english347,english,female,1236,usa,minnesota
1237,1237,20.0,5.0,"miami, florida, usa",spanish72,spanish,female,1238,usa,florida
1238,1238,24.0,0.0,"warrenton, virginia, usa",english349,english,female,1239,usa,virginia
1241,1241,37.0,0.0,"carthage, missouri, usa",english351,english,male,1242,usa,missouri
1255,1255,19.0,0.0,"los angeles, california, usa",english355,english,male,1256,usa,california
1257,1257,24.0,0.0,"alto, georgia, usa",english357,english,male,1258,usa,georgia
1276,1276,19.0,0.0,"erie, pennsylvania, usa",english360,english,female,1277,usa,pennsylvania
1279,1279,20.0,0.0,"burnsville, minnesota, usa",english361,english,female,1280,usa,minnesota
1296,1296,27.0,0.0,"mcminnville, oregon, usa",english369,english,male,1297,usa,oregon
1302,1302,27.0,0.0,"colorado springs, colorado, usa",english371,english,female,1303,usa,colorado
1306,1306,80.0,0.0,"christiansburg, virginia, usa",english372,english,male,1307,usa,virginia
1307,1307,22.0,0.0,"russellville, kentucky, usa",english373,english,male,1308,usa,kentucky
1311,1311,28.0,0.0,"manchester, connecticut, usa",english375,english,male,1312,usa,connecticut
1314,1314,46.0,0.0,"pasadena, california, usa",english376,english,male,1315,usa,california
1318,1318,32.0,0.0,"trenton, michigan, usa",english377,english,female,1319,usa,michigan
1319,1319,38.0,0.0,"silver spring, maryland, usa",english378,english,female,1320,usa,maryland
1320,1320,43.0,0.0,"summit, new jersey, usa",english379,english,male,1321,usa,new jersey
1322,1322,34.0,0.0,"roanoke, virginia, usa",english380,english,female,1323,usa,virginia
1323,1323,85.0,0.0,"pike county, kentucky, usa",english381,english,male,1324,usa,kentucky
1324,1324,34.0,0.0,"arlington, virginia, usa",english382,english,male,1325,usa,virginia
1325,1325,32.0,0.0,"washington, district of columbia, usa",english383,english,female,1326,usa,district of columbia
1326,1326,57.0,0.0,"williamson, west virginia, usa",english384,english,male,1327,usa,west virginia
1327,1327,77.0,0.0,"mcveigh, kentucky, usa",english385,english,female,1328,usa,kentucky
1329,1329,56.0,0.0,"los angeles, california, usa",english386,english,female,1330,usa,california
1330,1330,21.0,0.0,"lancaster, california, usa",english387,english,female,1331,usa,california
1331,1331,70.0,0.0,"bluefield, west virginia, usa",english388,english,female,1332,usa,west virginia
1332,1332,71.0,0.0,"aldie, virginia, usa",english389,english,female,1333,usa,virginia
1333,1333,74.0,0.0,"milwaukee, wisconsin, usa",english390,english,male,1334,usa,wisconsin
1334,1334,84.0,0.0,"milton, florida, usa",english391,english,female,1335,usa,florida
1335,1335,62.0,0.0,"warrenton, virginia, usa",english392,english,male,1336,usa,virginia
1336,1336,58.0,0.0,"washington, district of columbia, usa",english393,english,female,1337,usa,district of columbia
1338,1338,82.0,0.0,"aiken, south carolina, usa",english394,english,female,1339,usa,south carolina
1339,1339,39.0,0.0,"alexandria, virginia, usa",english395,english,male,1340,usa,virginia
1340,1340,48.0,0.0,"orange, virginia, usa",english396,english,female,1341,usa,virginia
1341,1341,76.0,0.0,"wadesboro, north carolina, usa",english397,english,female,1342,usa,north carolina
1342,1342,83.0,0.0,"salisbury, north carolina, usa",english398,english,female,1343,usa,north carolina
1344,1344,80.0,0.0,"la grange, georgia, usa",english399,english,female,1345,usa,georgia
1357,1357,24.0,0.0,"pensacola, florida, usa",english406,english,female,1358,usa,florida
1360,1360,64.0,0.0,"lynwood, california, usa",english408,english,male,1361,usa,california
1370,1370,26.0,0.0,"washington, district of columbia, usa",english411,english,female,1371,usa,district of columbia
1371,1371,31.0,0.0,"washington, district of columbia, usa",english412,english,female,1372,usa,district of columbia
1373,1373,30.0,0.0,"woonsocket, rhode island, usa",english414,english,female,1374,usa,rhode island
1374,1374,32.0,0.0,"woonsocket, rhode island, usa",english415,english,male,1375,usa,rhode island
1384,1384,27.0,0.0,"youngstown, ohio, usa",english419,english,male,1385,usa,ohio
1389,1389,31.0,0.0,"rochester, new york, usa",english422,english,male,1390,usa,new york
1393,1393,19.0,9.0,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,maryland
1394,1394,24.0,0.0,"baltimore, maryland, usa",english423,english,female,1395,usa,maryland
1408,1408,75.0,0.0,"danville, virginia, usa",english424,english,male,1409,usa,virginia
1409,1409,31.0,0.0,"danville, virginia, usa",english425,english,male,1410,usa,virginia
1410,1410,30.0,0.0,"florence, south carolina, usa",english426,english,female,1411,usa,south carolina
1411,1411,68.0,0.0,"hanover, pennsylvania, usa",english427,english,female,1412,usa,pennsylvania
1412,1412,55.0,0.0,"kingstree, south carolina, usa",english428,english,female,1413,usa,south carolina
1415,1415,19.0,0.0,"philadelphia, pennsylvania, usa",english429,english,female,1416,usa,pennsylvania
1422,1422,23.0,0.0,"green bay, wisconsin, usa",english431,english,female,1423,usa,wisconsin
1429,1429,32.0,0.0,"gladwin, michigan, usa",english433,english,female,1430,usa,michigan
1455,1455,32.0,12.0,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,colorado
1468,1468,24.0,0.0,"kansas city, kansas, usa",english434,english,male,1469,usa,kansas
1470,1470,20.0,0.0,"palm springs, california, usa",english435,english,female,1471,usa,california
1476,1476,21.0,0.0,"cleveland, ohio, usa",english437,english,male,1477,usa,ohio
1491,1491,20.0,0.0,"houston, texas, usa",english438,english,female,1492,usa,texas
1523,1523,19.0,0.0,"oquawka, illinois, usa",english441,english,female,1524,usa,illinois
1527,1527,23.0,0.0,"salisbury mills, new york, usa",english442,english,male,1528,usa,new york
1529,1529,31.0,0.0,"fort collins, colorado, usa",english443,english,male,1530,usa,colorado
1530,1530,24.0,0.0,"anniston, alabama, usa",english444,english,male,1531,usa,alabama
1531,1531,60.0,0.0,"san francisco, california, usa",english445,english,male,1532,usa,california
1532,1532,23.0,0.0,"moorhead, minnesota, usa",english446,english,female,1533,usa,minnesota
1533,1533,21.0,0.0,"hartford, connecticut, usa",english447,english,male,1534,usa,connecticut
1537,1537,27.0,0.0,"barton, vermont, usa",english449,english,male,1538,usa,vermont
1538,1538,20.0,5.0,"alexandria, virginia, usa",urdu9,urdu,female,1539,usa,virginia
1545,1545,44.0,0.0,"hazlehurst, georgia, usa",english451,english,male,1546,usa,georgia
1547,1547,21.0,0.0,"chicago, illinois, usa",english453,english,female,1548,usa,illinois
1549,1549,19.0,0.0,"raleigh, north carolina, usa",english454,english,female,1550,usa,north carolina
1551,1551,29.0,0.0,"washington, dc, usa",english455,english,female,1552,usa,dc
1554,1554,43.0,0.0,"syracuse, new york, usa",english457,english,male,1555,usa,new york
1558,1558,22.0,0.0,"reno, nevada, usa",english458,english,female,1559,usa,nevada
1559,1559,19.0,0.0,"charlotte, north carolina, usa",english459,english,male,1560,usa,north carolina
1562,1562,44.0,0.0,"poughkeepsie, new york, usa",english461,english,female,1563,usa,new york
1563,1563,20.0,0.0,"paducah, kentucky, usa",english462,english,male,1564,usa,kentucky
1570,1570,53.0,0.0,"brooklyn, new york, usa",english463,english,female,1571,usa,new york
1571,1571,52.0,6.0,"bethesda, maryland, usa",farsi14,farsi,female,1572,usa,maryland
1636,1636,18.0,0.0,"portland, maine, usa",english466,english,male,1637,usa,maine
1639,1639,30.0,0.0,"myrtle beach, south carolina, usa",english468,english,male,1640,usa,south carolina
1640,1640,22.0,0.0,"knoxville, tennessee, usa",english469,english,male,1641,usa,tennessee
1655,1655,33.0,0.0,"rochester, minnesota, usa",english474,english,female,1656,usa,minnesota
1656,1656,29.0,0.0,"ogden, utah, usa",english475,english,female,1657,usa,utah
1657,1657,64.0,0.0,"manchester, new hampshire, usa",english476,english,female,1658,usa,new hampshire
1658,1658,31.0,0.0,"san diego, california, usa",english477,english,female,1659,usa,california
1663,1663,64.0,0.0,"new york, new york, usa",english479,english,female,1664,usa,new york
1664,1664,58.0,0.0,"winston-salem, north carolina, usa",english480,english,male,1665,usa,north carolina
1665,1665,88.0,0.0,"stringtown, oklahoma, usa",english481,english,female,1666,usa,oklahoma
1666,1666,74.0,0.0,"yeadon, pennsylvania, usa",english482,english,female,1667,usa,pennsylvania
1667,1667,19.0,0.0,"boston, massachusetts, usa",english483,english,male,1668,usa,massachusetts
1673,1673,20.0,0.0,"cromwell, connecticut, usa",english485,english,male,1674,usa,connecticut
1674,1674,73.0,5.0,"pepeekeo, hawai'i, usa",hawai'i,hawai'i,male,1675,usa,hawai'i
1675,1675,69.0,4.0,"pa'ia, hawai'i, usa",hawai'i,hawai'i,female,1676,usa,hawai'i
1711,1711,24.0,4.0,"bethlehem, pennsylvania, usa",greek12,greek,male,1712,usa,pennsylvania
1715,1715,22.0,0.0,"omaha, nebraska, usa",english492,english,female,1716,usa,nebraska
1717,1717,20.0,0.0,"miami, florida, usa",english493,english,male,1718,usa,florida
1718,1718,27.5,0.0,"findlay, ohio, usa",english494,english,male,1719,usa,ohio
1719,1719,21.0,0.0,"kirkland, washington, usa",english495,english,male,1720,usa,washington
1725,1725,22.0,0.0,"cleveland, ohio, usa",english497,english,male,1726,usa,ohio
1727,1727,21.0,0.0,"st. paul, minnesota, usa",english499,english,female,1728,usa,minnesota
1733,1733,64.0,0.0,"pittsburgh, pennsylvania, usa",english501,english,female,1734,usa,pennsylvania
1734,1734,30.0,0.0,"farmington hills, michigan, usa",english502,english,female,1735,usa,michigan
1749,1749,25.0,5.0,"brooklyn, new york, usa",russian39,russian,female,1750,usa,new york
1785,1785,25.0,0.0,"west palm beach, florida, usa",english504,english,male,1786,usa,florida
